,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
1,Speech Accent Data,4.47213595499958,Linear,0.11764706,1,Linear,0.22222222,0.77676767
2,,,,,,,,
3,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
4,Letter Recognition,4.47213595499958,KMeans,0.44545455,1,KMeans,0.05384615,0.93619909
5,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.0,0.85648338
0,,,,,2.0,,0.0,0.0
0,,,,,3.0,,0.0,0.0
0,,,,,4.0,,0.0,0.0
0,,,,,5.0,,0.0,0.0
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
