,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,nyc_taxi.csv,11.421184749210582,Linear,0.25,1,Linear,0.4,0.65
2,speed_t4013.csv,16.622471298547076,Linear,1.0,2,Linear,0.4,0.65
3,TravelTime_451.csv,19.232220361247798,KMeans,0.4,3,Linear,0.4,0.65
4,speed_6005.csv,20.74348445589244,Linear,0.66666667,4,Linear,0.4,0.65
5,TravelTime_387.csv,21.87307201149968,KMeans,0.66666667,5,Linear,0.4,0.65
6,occupancy_6005.csv,23.987755485799852,Linear,1.0,6,Linear,0.4,0.65
7,occupancy_t4013.csv,29.259016954603936,Linear,1.0,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,nyc_taxi.csv,11.421184749210582,Linear,0.25,1,Linear,0.5,0.83333333
11,speed_t4013.csv,16.622471298547076,Linear,1.0,2,Linear,0.5,0.83333333
12,TravelTime_451.csv,19.232220361247798,KMeans,0.4,3,Linear,0.5,0.83333333
13,speed_6005.csv,20.74348445589244,Linear,0.66666667,4,Linear,0.5,0.83333333
14,TravelTime_387.csv,21.87307201149968,KMeans,0.66666667,5,Linear,0.5,0.83333333
15,occupancy_6005.csv,23.987755485799852,Linear,1.0,6,Linear,0.5,0.83333333
16,occupancy_t4013.csv,29.259016954603936,Linear,1.0,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,nyc_taxi.csv,11.421184749210582,Linear,0.25,1,Linear,0.25,1.0
20,speed_t4013.csv,16.622471298547076,Linear,1.0,2,Linear,0.25,1.0
21,TravelTime_451.csv,19.232220361247798,KMeans,0.4,3,Linear,0.25,1.0
22,speed_6005.csv,20.74348445589244,Linear,0.66666667,4,Linear,0.25,1.0
23,TravelTime_387.csv,21.87307201149968,KMeans,0.66666667,5,Linear,0.25,1.0
24,occupancy_6005.csv,23.987755485799852,Linear,1.0,6,Linear,0.25,1.0
25,occupancy_t4013.csv,29.259016954603936,Linear,1.0,7,Linear,0.25,1.0
26,,,,,,,,
