,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
1,exchange-3_cpc_results.csv,0.0,Linear,0.57142857,1,Linear,1.0,1.0
2,exchange-2_cpm_results.csv,3.2694536812868242,KMeans,0.8,2,KMeans,1.0,1.0
3,exchange-2_cpc_results.csv,3.2694536812868242,KMeans,0.33333333,3,KMeans,1.0,1.0
4,exchange-4_cpm_results.csv,3.9762665793553196,KMeans,0.75,4,KMeans,1.0,1.0
5,exchange-4_cpc_results.csv,3.9762665793553196,Linear,0.66666667,5,KMeans,1.0,1.0
6,,,,,,,,
7,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
8,exchange-4_cpc_results.csv,0.0,Linear,0.66666667,1,Linear,0.66666667,0.91666667
9,exchange-2_cpm_results.csv,0.7070903165946867,KMeans,0.8,2,KMeans,0.75,1.0
10,exchange-2_cpc_results.csv,0.7070903165946867,KMeans,0.33333333,3,KMeans,0.75,1.0
11,exchange-3_cpm_results.csv,3.9762665793553196,Linear,1.0,4,KMeans,0.75,1.0
12,exchange-3_cpc_results.csv,3.9762665793553196,Linear,0.57142857,5,Linear,0.66666667,0.91666667
13,,,,,,,,
14,exchange-2_cpm_results.csv,0,KMeans,0.8,0,KMeans,0.8,1
15,exchange-2_cpc_results.csv,0.0,KMeans,0.33333333,1,KMeans,0.8,1.0
16,exchange-4_cpm_results.csv,0.7070903165946867,KMeans,0.75,2,KMeans,0.8,1.0
17,exchange-4_cpc_results.csv,0.7070903165946867,Linear,0.66666667,3,KMeans,0.8,1.0
18,exchange-3_cpm_results.csv,3.2694536812868242,Linear,1.0,4,KMeans,0.8,1.0
19,exchange-3_cpc_results.csv,3.2694536812868242,Linear,0.57142857,5,Linear,0.5,0.7
20,,,,,,,,
21,exchange-2_cpc_results.csv,0,KMeans,0.33333333,0,KMeans,0.33333333,1
22,exchange-2_cpc_results.csv,0.0,KMeans,0.33333333,1,KMeans,0.33333333,1.0
23,exchange-4_cpm_results.csv,0.7070903165946867,KMeans,0.75,2,KMeans,0.33333333,1.0
24,exchange-4_cpc_results.csv,0.7070903165946867,Linear,0.66666667,3,KMeans,0.33333333,1.0
25,exchange-3_cpm_results.csv,3.2694536812868242,Linear,1.0,4,KMeans,0.33333333,1.0
26,exchange-3_cpc_results.csv,3.2694536812868242,Linear,0.57142857,5,Linear,0.06666667,0.73333334
27,,,,,,,,
28,exchange-4_cpc_results.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
29,exchange-4_cpc_results.csv,0.0,Linear,0.66666667,1,Linear,0.66666667,1.0
30,exchange-2_cpm_results.csv,0.7070903165946867,KMeans,0.8,2,KMeans,0.66666667,1.0
31,exchange-2_cpc_results.csv,0.7070903165946867,KMeans,0.33333333,3,KMeans,0.66666667,1.0
32,exchange-3_cpm_results.csv,3.9762665793553196,Linear,1.0,4,KMeans,0.66666667,1.0
33,exchange-3_cpc_results.csv,3.9762665793553196,Linear,0.57142857,5,Linear,0.66666667,1.0
34,,,,,,,,
35,exchange-3_cpc_results.csv,0,Linear,0.57142857,0,Linear,0.57142857,1
36,exchange-3_cpc_results.csv,0.0,Linear,0.57142857,1,Linear,0.57142857,1.0
37,exchange-2_cpm_results.csv,3.2694536812868242,KMeans,0.8,2,KMeans,0.57142857,1.0
38,exchange-2_cpc_results.csv,3.2694536812868242,KMeans,0.33333333,3,KMeans,0.57142857,1.0
39,exchange-4_cpm_results.csv,3.9762665793553196,KMeans,0.75,4,KMeans,0.57142857,1.0
40,exchange-4_cpc_results.csv,3.9762665793553196,Linear,0.66666667,5,KMeans,0.57142857,1.0
41,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.8333333333333334,0.9861111116666667
0,,,,,2.0,,1.0,1.0
0,,,,,3.0,,1.0,1.0
0,,,,,4.0,,1.0,1.0
0,,,,,5.0,,0.5,0.8916666683333333
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
